source_id,domain,year,page_url,notes
nhs_iucadc_2021_22,nhs111_iuc,2021-22,https://www.england.nhs.uk/statistics/statistical-work-areas/iucadc-new-from-april-2021/integrated-urgent-care-aggregate-data-collection-iucadc-including-nhs111-statistics-apr-2021-mar-2022/,Integrated Urgent Care Aggregate Data Collection including NHS111
nhs_iucadc_2022_23,nhs111_iuc,2022-23,https://www.england.nhs.uk/statistics/statistical-work-areas/iucadc-new-from-april-2021/integrated-urgent-care-aggregate-data-collection-iucadc-including-nhs111-statistics-apr-2022-mar-2023/,Integrated Urgent Care Aggregate Data Collection including NHS111
nhs_iucadc_2023_24,nhs111_iuc,2023-24,https://www.england.nhs.uk/statistics/statistical-work-areas/iucadc-new-from-april-2021/integrated-urgent-care-aggregate-data-collection-iucadc-including-nhs111-statistics-apr-2023-mar-2024/,Integrated Urgent Care Aggregate Data Collection including NHS111
nhs_iucadc_2024_25,nhs111_iuc,2024-25,https://www.england.nhs.uk/statistics/statistical-work-areas/iucadc-new-from-april-2021/integrated-urgent-care-aggregate-data-collection-iucadc-including-nhs111-statistics-apr-2024-mar-2025/,Integrated Urgent Care Aggregate Data Collection including NHS111
nhs_iucadc_2025_26,nhs111_iuc,2025-26,https://www.england.nhs.uk/statistics/statistical-work-areas/iucadc-new-from-april-2021/integrated-urgent-care-aggregate-data-collection-iucadc-including-nhs111-statistics-apr-2025-mar-2026/,Integrated Urgent Care Aggregate Data Collection including NHS111
ae_2021_22,ae_emergency_admissions,2021-22,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/ae-attendances-and-emergency-admissions-2021-22/,A&E attendances and emergency admissions
#ae_2022_23,ae_emergency_admissions,2022-23,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/ae-attendances-and-emergency-admissions-2022-23/,A&E attendances and emergency admissions
ae_2023_24,ae_emergency_admissions,2023-24,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/ae-attendances-and-emergency-admissions-2023-24/,A&E attendances and emergency admissions
ae_2024_25,ae_emergency_admissions,2024-25,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/ae-attendances-and-emergency-admissions-2024-25/,A&E attendances and emergency admissions
ae_2025_26,ae_emergency_admissions,2025-26,https://www.england.nhs.uk/statistics/statistical-work-areas/ae-waiting-times-and-activity/ae-attendances-and-emergency-admissions-2025-26/,A&E attendances and emergency admissions
